,colname,dtype
0,PARTY_AGENDAS_rand_2016,category
1,pp_primary16_2016,category
2,inputstate_2016,category
3,izip_2016,int64
4,votereg2_2016,category
5,votereg_f_2016,category
6,turnout16_2016,category
7,votemeth16_2016,category
8,presvote16post_2016,category
9,vote_for_against_2016,category
10,Clinton_Rubio_2016,category
11,Clinton_Cruz_2016,category
12,Sanders_Trump_2016,category
13,Sanders_Rubio_2016,category
14,vote_regrets_2016,category
15,accurately_counted_2016,category
16,accurately_counted2_2016,category
17,obamaapp_2016,category
18,fav_trump_2016,category
19,fav_cruz_2016,category
20,fav_ryan_2016,category
21,fav_romn_2016,category
22,fav_obama_2016,category
23,fav_hrc_2016,category
24,fav_sanders_2016,category
25,fav_rubio_2016,category
26,RIGGED_SYSTEM_1_2016,category
27,RIGGED_SYSTEM_2_2016,category
28,RIGGED_SYSTEM_3_2016,category
29,RIGGED_SYSTEM_4_2016,category
30,RIGGED_SYSTEM_5_2016,category
31,RIGGED_SYSTEM_6_2016,category
32,track_2016,category
33,persfinretro_2016,category
34,econtrend_2016,category
35,Americatrend_2016,category
36,futuretrend_2016,category
37,wealth_2016,category
38,values_culture_2016,category
39,US_respect_2016,category
40,trustgovt_2016,category
41,trust_people_2016,category
42,helpful_people_2016,category
43,fair_people_2016,category
44,ft_black_2016,category
45,ft_white_2016,category
46,ft_hisp_2016,category
47,ft_asian_2016,category
48,ft_muslim_2016,category
49,ft_jew_2016,category
50,ft_christ_2016,category
51,ft_fem_2016,category
52,ft_immig_2016,category
53,ft_blm_2016,category
54,ft_wallst_2016,category
55,ft_gays_2016,category
56,ft_unions_2016,category
57,ft_police_2016,category
58,ft_altright_2016,category
59,imiss_a_2016,category
60,imiss_b_2016,category
61,imiss_c_2016,category
62,imiss_d_2016,category
63,imiss_e_2016,category
64,imiss_f_2016,category
65,imiss_g_2016,category
66,imiss_h_2016,category
67,imiss_i_2016,category
68,imiss_j_2016,category
69,imiss_k_2016,category
70,imiss_l_2016,category
71,imiss_m_2016,category
72,imiss_n_2016,category
73,imiss_o_2016,category
74,imiss_p_2016,category
75,imiss_q_2016,category
76,imiss_r_2016,category
77,imiss_s_2016,category
78,imiss_t_2016,category
79,imiss_u_2016,category
80,imiss_x_2016,category
81,imiss_y_2016,category
82,immi_contribution_2016,category
83,immi_naturalize_2016,category
84,immi_makedifficult_2016,category
85,immi_muslim_2016,category
86,abortview3_2016,category
87,gaymar_2016,category
88,view_transgender_2016,category
89,deathpen_2016,category
90,deathpenfreq_2016,category
91,police_threat_2016,category
92,conviction_accuracy_2016,category
93,univhealthcov_2016,category
94,healthreformbill_2016,category
95,envwarm_2016,category
96,envpoll2_2016,category
97,affirmact_gen_2016,category
98,taxdoug_2016,category
99,govt_reg_2016,category
100,gvmt_involment_2016,category
101,tradepolicy_2016,category
102,free_trade_1_2016,category
103,free_trade_2_2016,category
104,free_trade_3_2016,category
105,free_trade_4_2016,category
106,free_trade_5_2016,category
107,amcitizen_2016,category
108,amshamed_2016,category
109,belikeus_2016,category
110,prouddem_2016,category
111,proudhis_2016,category
112,proudgrp_2016,category
113,ambornin_2016,category
114,amcit_2016,category
115,amlived_2016,category
116,amenglish_2016,category
117,amchrstn_2016,category
118,amgovt_2016,category
119,amwhite_2016,category
120,amdiverse_2016,category
121,sexism1_2016,category
122,sexism2_2016,category
123,sexism3_2016,category
124,sexism4_2016,category
125,sexism5_2016,category
126,sexism6_2016,category
127,gender_equality_2016,category
128,race_deservemore_2016,category
129,race_overcome_2016,category
130,race_tryharder_2016,category
131,race_slave_2016,category
132,policies_favor_2016,category
133,reverse_discrimination_2016,category
134,inc_opp_blacks_2016,category
135,race_majority_1_2016,category
136,race_majority_2_2016,category
137,race_majority_3_2016,category
138,race_majority_4_2016,category
139,SOCIAL_CONFORMITY_1_2016,category
140,SOCIAL_CONFORMITY_2_2016,category
141,SOCIAL_CONFORMITY_3_2016,category
142,SOCIAL_CONFORMITY_4_2016,category
143,CIVIC_PARTICIPATION_2016,category
144,POLITICAL_CORRECTNESS_2016,category
145,race_2016,category
146,race_fate_2016,category
147,race_importance_2016,category
148,labunmemb_2016,category
149,milstat_1_2016,category
150,milstat_2_2016,category
151,milstat_3_2016,category
152,milstat_4_2016,category
153,milstat_5_2016,category
154,gunown_2016,category
155,smoke100_2016,category
156,healthdk_0_2016,category
157,healthcov2_2016,category
158,alcohol_2016,category
159,painkillers_2016,category
160,drugs_2016,category
161,victim_12mo_2016,category
162,educ_2016,category
163,marstat_2016,category
164,child18_2016,category
165,employ_2016,category
166,faminc_2016,category
167,pid3_2016,category
168,pid7_2016,category
169,ideo5_2016,category
170,newsint_2016,category
171,pew_bornagain_2016,category
172,pew_religimp_2016,category
173,pew_churatd_2016,category
174,pew_prayer_2016,category
175,religpew_2016,category
