,colname,dtype,unique_values
0,PARTY_AGENDAS_rand_2016,category,2
1,pp_primary16_2016,category,4
2,inputstate_2016,category,51
3,izip_2016,category,5149
4,votereg2_2016,category,3
5,votereg_f_2016,category,2
6,turnout16_2016,category,2
7,votemeth16_2016,category,3
8,presvote16post_2016,category,7
9,vote_for_against_2016,category,2
10,Clinton_Rubio_2016,category,3
11,Clinton_Cruz_2016,category,3
12,Sanders_Trump_2016,category,3
13,Sanders_Rubio_2016,category,3
14,vote_regrets_2016,category,2
15,accurately_counted_2016,category,4
16,accurately_counted2_2016,category,4
17,obamaapp_2016,category,5
18,fav_trump_2016,category,5
19,fav_cruz_2016,category,5
20,fav_ryan_2016,category,5
21,fav_romn_2016,category,5
22,fav_obama_2016,category,5
23,fav_hrc_2016,category,5
24,fav_sanders_2016,category,5
25,fav_rubio_2016,category,5
26,RIGGED_SYSTEM_1_2016,category,4
27,RIGGED_SYSTEM_2_2016,category,4
28,RIGGED_SYSTEM_3_2016,category,4
29,RIGGED_SYSTEM_4_2016,category,4
30,RIGGED_SYSTEM_5_2016,category,4
31,RIGGED_SYSTEM_6_2016,category,4
32,track_2016,category,3
33,persfinretro_2016,category,4
34,econtrend_2016,category,4
35,Americatrend_2016,category,4
36,futuretrend_2016,category,4
37,wealth_2016,category,3
38,values_culture_2016,category,4
39,US_respect_2016,category,4
40,trustgovt_2016,category,3
41,trust_people_2016,category,3
42,helpful_people_2016,category,3
43,fair_people_2016,category,3
44,ft_black_2016,float64,102
45,ft_white_2016,float64,101
46,ft_hisp_2016,float64,102
47,ft_asian_2016,float64,102
48,ft_muslim_2016,float64,102
49,ft_jew_2016,float64,100
50,ft_christ_2016,float64,102
51,ft_fem_2016,float64,102
52,ft_immig_2016,float64,102
53,ft_blm_2016,float64,102
54,ft_wallst_2016,float64,102
55,ft_gays_2016,float64,102
56,ft_unions_2016,float64,102
57,ft_police_2016,float64,102
58,ft_altright_2016,float64,102
59,imiss_a_2016,category,4
60,imiss_b_2016,category,4
61,imiss_c_2016,category,4
62,imiss_d_2016,category,4
63,imiss_e_2016,category,4
64,imiss_f_2016,category,4
65,imiss_g_2016,category,4
66,imiss_h_2016,category,4
67,imiss_i_2016,category,4
68,imiss_j_2016,category,4
69,imiss_k_2016,category,4
70,imiss_l_2016,category,4
71,imiss_m_2016,category,4
72,imiss_n_2016,category,4
73,imiss_o_2016,category,4
74,imiss_p_2016,category,4
75,imiss_q_2016,category,4
76,imiss_r_2016,category,4
77,imiss_s_2016,category,4
78,imiss_t_2016,category,4
79,imiss_u_2016,category,4
80,imiss_x_2016,category,4
81,imiss_y_2016,category,4
82,immi_contribution_2016,category,4
83,immi_naturalize_2016,category,3
84,immi_makedifficult_2016,category,6
85,immi_muslim_2016,category,5
86,abortview3_2016,category,4
87,gaymar_2016,category,3
88,view_transgender_2016,category,3
89,deathpen_2016,category,3
90,deathpenfreq_2016,category,4
91,police_threat_2016,category,3
92,conviction_accuracy_2016,category,3
93,univhealthcov_2016,category,3
94,healthreformbill_2016,category,4
95,envwarm_2016,category,5
96,envpoll2_2016,category,3
97,affirmact_gen_2016,category,3
98,taxdoug_2016,category,3
99,govt_reg_2016,category,4
100,gvmt_involment_2016,category,3
101,tradepolicy_2016,category,3
102,free_trade_1_2016,category,3
103,free_trade_2_2016,category,3
104,free_trade_3_2016,category,3
105,free_trade_4_2016,category,3
106,free_trade_5_2016,category,3
107,amcitizen_2016,category,5
108,amshamed_2016,category,5
109,belikeus_2016,category,5
110,prouddem_2016,category,5
111,proudhis_2016,category,5
112,proudgrp_2016,category,5
113,ambornin_2016,category,5
114,amcit_2016,category,5
115,amlived_2016,category,5
116,amenglish_2016,category,5
117,amchrstn_2016,category,5
118,amgovt_2016,category,5
119,amwhite_2016,category,5
120,amdiverse_2016,category,5
121,sexism1_2016,category,4
122,sexism2_2016,category,4
123,sexism3_2016,category,4
124,sexism4_2016,category,4
125,sexism5_2016,category,4
126,sexism6_2016,category,4
127,gender_equality_2016,category,4
128,race_deservemore_2016,category,5
129,race_overcome_2016,category,5
130,race_tryharder_2016,category,5
131,race_slave_2016,category,5
132,policies_favor_2016,category,4
133,reverse_discrimination_2016,category,5
134,inc_opp_blacks_2016,category,5
135,race_majority_1_2016,category,4
136,race_majority_2_2016,category,4
137,race_majority_3_2016,category,4
138,race_majority_4_2016,category,4
139,SOCIAL_CONFORMITY_1_2016,category,2
140,SOCIAL_CONFORMITY_2_2016,category,2
141,SOCIAL_CONFORMITY_3_2016,category,2
142,SOCIAL_CONFORMITY_4_2016,category,2
143,CIVIC_PARTICIPATION_2016,category,6
144,POLITICAL_CORRECTNESS_2016,category,3
145,race_2016,category,8
146,race_fate_2016,category,3
147,race_importance_2016,category,5
148,labunmemb_2016,category,3
149,milstat_1_2016,category,2
150,milstat_2_2016,category,2
151,milstat_3_2016,category,2
152,milstat_4_2016,category,2
153,milstat_5_2016,category,2
154,gunown_2016,category,4
155,smoke100_2016,category,2
156,healthdk_0_2016,category,3
157,healthcov2_2016,category,4
158,alcohol_2016,category,2
159,painkillers_2016,category,2
160,drugs_2016,category,2
161,victim_12mo_2016,category,5
162,educ_2016,category,6
163,marstat_2016,category,6
164,child18_2016,category,2
165,employ_2016,category,9
166,faminc_2016,category,18
167,pid3_2016,category,5
168,pid7_2016,category,8
169,ideo5_2016,category,6
170,newsint_2016,category,5
171,pew_bornagain_2016,category,2
172,pew_religimp_2016,category,4
173,pew_churatd_2016,category,7
174,pew_prayer_2016,category,8
175,religpew_2016,category,12
