,colname,dtype,unique_values
0,newsint2_baseline,category,4
1,track_baseline,category,3
2,trustgovt_baseline,category,3
3,persfinretro_baseline,category,4
4,econtrend_baseline,category,4
5,fatalism2_baseline,category,5
6,obamaapp_baseline,category,5
7,watchtv_baseline,category,3
8,morn_show_1_baseline,category,2
9,morn_show_2_baseline,category,2
10,morn_show_3_baseline,category,2
11,morn_show_4_baseline,category,2
12,morn_show_5_baseline,category,2
13,morn_show_6_baseline,category,2
14,morn_show_99_baseline,category,2
15,enews_show_1_baseline,category,2
16,enews_show_2_baseline,category,2
17,enews_show_3_baseline,category,2
18,enews_show_4_baseline,category,2
19,enews_show_5_baseline,category,2
20,enews_show_6_baseline,category,2
21,enews_show_7_baseline,category,2
22,enews_show_99_baseline,category,2
23,sundaytalkshow_1_baseline,category,2
24,sundaytalkshow_2_baseline,category,2
25,sundaytalkshow_3_baseline,category,2
26,sundaytalkshow_4_baseline,category,2
27,sundaytalkshow_5_baseline,category,2
28,sundaytalkshow_99_baseline,category,2
29,dailytalkshow_1_baseline,category,2
30,dailytalkshow_2_baseline,category,2
31,dailytalkshow_3_baseline,category,2
32,dailytalkshow_4_baseline,category,2
33,dailytalkshow_5_baseline,category,2
34,dailytalkshow_6_baseline,category,2
35,dailytalkshow_7_baseline,category,2
36,dailytalkshow_8_baseline,category,2
37,dailytalkshow_9_baseline,category,2
38,dailytalkshow_99_baseline,category,2
39,latetalk_1_baseline,category,2
40,latetalk_2_baseline,category,2
41,latetalk_3_baseline,category,2
42,latetalk_4_baseline,category,2
43,latetalk_5_baseline,category,2
44,latetalk_6_baseline,category,2
45,latetalk_7_baseline,category,2
46,latetalk_8_baseline,category,2
47,latetalk_9_baseline,category,2
48,latetalk_10_baseline,category,2
49,latetalk_99_baseline,category,2
50,localeve_baseline,category,8
51,localnewspaper_baseline,category,8
52,ideo5_baseline,category,6
53,imiss_a_baseline,category,4
54,imiss_b_baseline,category,4
55,imiss_c_baseline,category,4
56,imiss_d_baseline,category,4
57,imiss_f_baseline,category,4
58,imiss_g_baseline,category,4
59,imiss_h_baseline,category,4
60,imiss_j_baseline,category,4
61,imiss_m_baseline,category,4
62,imiss_p_baseline,category,4
63,imiss_q_baseline,category,4
64,imiss_r_baseline,category,4
65,imiss_s_baseline,category,4
66,imiss_t_baseline,category,4
67,imissf_baseline,category,14
68,immi_contribution_baseline,category,4
69,immi_naturalize_baseline,category,3
70,immi_makedifficult_baseline,category,6
71,abortview3_baseline,category,4
72,gaymar2_baseline,category,3
73,deathpenalty_baseline,category,3
74,deathpenfreq_baseline,category,4
75,taxwealth_baseline,category,3
76,univhealthcov_baseline,category,3
77,healthtaxch3_baseline,category,4
78,healthqualch3_baseline,category,4
79,healthreformbill_baseline,category,4
80,envwarm_baseline,category,5
81,envser2_baseline,category,4
82,envpoll2_baseline,category,3
83,affirmact_gen_baseline,category,3
84,tradepolicy_baseline,category,3
85,govt_reg_baseline,category,4
86,pid7_baseline,category,8
87,pid3_baseline,category,5
88,vote_generic_baseline,category,5
89,cong2012_2_baseline,category,5
90,marstat_baseline,category,6
91,polinterest_baseline,category,4
92,pol_know_baseline,category,4
93,pk_ideo_baseline,category,3
94,pk_house_baseline,category,3
95,pk_senate_baseline,category,3
96,pk_HMinL_baseline,category,5
97,pk_Speaker_baseline,category,5
98,pk_HMajL_baseline,category,5
99,pk_SMinL_baseline,category,5
100,pk_VP_baseline,category,5
101,pk_SMajL_baseline,category,5
102,pk_SCJ_baseline,category,5
103,teapartymemb_baseline,category,3
104,teapartsup_baseline,category,6
105,selfdescr_ccap_1_baseline,category,2
106,selfdescr_ccap_2_baseline,category,2
107,selfdescr_ccap_3_baseline,category,2
108,selfdescr_ccap_4_baseline,category,2
109,selfdescr_ccap_5_baseline,category,2
110,selfdescr_ccap_6_baseline,category,2
111,selfdescr_ccap_7_baseline,category,2
112,selfdescr_ccap_8_baseline,category,2
113,selfdescr_ccap_9_baseline,category,2
114,selfdescr_ccap_10_baseline,category,2
115,selfdescr_ccap_11_baseline,category,2
116,selfdescr_ccap_12_baseline,category,2
117,selfdescr_ccap_13_baseline,category,2
118,selfdescr_ccap_99_baseline,category,2
119,abortidentity_baseline,category,5
120,race_deservemore_baseline,category,5
121,race_overcome_baseline,category,5
122,race_tryharder_baseline,category,5
123,race_slave_baseline,category,5
124,therm_baseline,float64,1
125,blacks_t_baseline,float64,102
126,whites_t_baseline,float64,95
127,asians_t_baseline,float64,102
128,latinos_t_baseline,float64,102
129,christians_t_baseline,float64,102
130,jews_t_baseline,float64,102
131,muslims_t_baseline,float64,102
132,mormons_t_baseline,float64,102
133,gays_t_baseline,float64,102
134,add_confirm_baseline,category,2
135,votereg_baseline,category,3
136,votereg_f_baseline,category,2
137,inputstate_baseline,category,52
138,region_baseline,category,5
139,urbancity_baseline,category,5
140,ownorrent_baseline,category,3
141,lengthres_baseline,category,7
142,reliablevoter_baseline,category,4
143,straighttic_baseline,category,3
144,voted08_ccap_baseline,category,3
145,presvote08_baseline,category,5
146,vote10_baseline,category,3
147,fav_romn_baseline,category,5
148,fav_ging_baseline,category,5
149,fav_hunt_baseline,category,5
150,fav_bach_baseline,category,5
151,fav_ronp_baseline,category,5
152,fav_sant_baseline,category,5
153,fav_perr_baseline,category,5
154,fav_obama_baseline,category,5
155,fav_hrc_baseline,category,5
156,fav_biden_baseline,category,5
157,ideoobama_baseline,category,6
158,saysobama_baseline,category,3
159,likeobama_baseline,category,4
160,ideonewt_baseline,category,6
161,saysnewt_baseline,category,3
162,likenewt_baseline,category,4
163,ideoromney_baseline,category,6
164,saysromney_baseline,category,3
165,likeromney_baseline,category,4
166,repchoice_baseline,category,2
167,repnom_baseline,category,9
168,cmatch_romn_baseline,category,4
169,cmatch_ging_baseline,category,4
170,org_membership_1_baseline,category,2
171,org_membership_2_baseline,category,2
172,org_membership_3_baseline,category,2
173,org_membership_4_baseline,category,2
174,org_membership_5_baseline,category,2
175,org_membership_6_baseline,category,2
176,org_membership_7_baseline,category,2
177,org_membership_8_baseline,category,2
178,org_membership_9_baseline,category,2
179,org_membership_10_baseline,category,2
180,org_membership_11_baseline,category,2
181,org_membership_12_baseline,category,2
182,org_membership_13_baseline,category,2
183,org_membership_14_baseline,category,2
184,org_membership_15_baseline,category,2
185,org_membership_16_baseline,category,2
186,org_membership_17_baseline,category,2
187,org_membership_18_baseline,category,2
188,org_membership_19_baseline,category,2
189,org_membership_20_baseline,category,2
190,org_membership_21_baseline,category,2
191,volunteer_baseline,category,2
192,volunteerorg2_1_baseline,category,2
193,volunteerorg2_2_baseline,category,2
194,volunteerorg2_3_baseline,category,2
195,volunteerorg2_4_baseline,category,2
196,volunteerorg2_5_baseline,category,2
197,volunteerorg2_6_baseline,category,2
198,volunteerorg2_7_baseline,category,2
199,volunteerorg2_8_baseline,category,2
200,volunteerorg2_9_baseline,category,2
201,volunteerorg2_10_baseline,category,2
202,volunteerorg2_11_baseline,category,2
203,volunteerorg2_12_baseline,category,2
204,volunteerorg2_13_baseline,category,2
205,volunteerorg2_14_baseline,category,2
206,volunteerorg2_15_baseline,category,2
207,volunteerorg2_16_baseline,category,2
208,volunteerorg2_17_baseline,category,2
209,polcontr_1_baseline,category,2
210,polcontr_2_baseline,category,2
211,polcontr_3_baseline,category,2
212,polcontr_4_baseline,category,2
213,polcontr_5_baseline,category,2
214,polcontr_6_baseline,category,2
215,polcontr_7_baseline,category,2
216,labunmemb_baseline,category,3
217,pew_bornagain_baseline,category,2
218,pew_religimp_baseline,category,4
219,pew_churatd_baseline,category,7
220,pew_prayer_baseline,category,8
221,religpew_baseline,category,12
222,milstat_1_baseline,category,2
223,milstat_2_baseline,category,2
224,milstat_3_baseline,category,2
225,milstat_4_baseline,category,2
226,milstat_5_baseline,category,2
227,gunown_baseline,category,4
228,smoke100_baseline,category,2
229,healthdk_0_baseline,category,3
230,healthcov2_baseline,category,4
231,knowgay4_baseline,category,2
232,closegay4_baseline,category,5
233,birthyr_baseline,int64,74
234,gender_baseline,category,2
235,race_baseline,category,8
236,educ_baseline,category,6
237,child18_baseline,category,2
238,student2_baseline,category,3
239,employstat2_baseline,category,8
240,occupationcat_baseline,category,12
241,hourscomputing_baseline,float64,22
242,daily_intuse_home_baseline,category,4
243,phone_baseline,category,4
244,faminc_baseline,category,13
245,cand_baseline,int64,5976
246,cdid_baseline,float64,54
247,demnom2_baseline,category,3
248,izip_baseline,float64,4571
249,lookupzip_baseline,category,4543
250,prim12_baseline,category,3
251,statefips_baseline,float64,52
252,post_inputstate_2012,category,51
253,post_cdid113_2012,int64,53
254,post_turnout12_2012,category,5
255,post_turnout_method12_2012,category,6
256,post_presvote12_2012,category,5
257,post_house12_2012,category,7
258,post_pid7_2012,category,8
259,post_pid3_2012,category,5
260,post_ideo5_2012,category,6
261,post_newsint_2012,category,5
262,post_HouseCand1Name_2012,category,412
263,post_HouseCand1Party_2012,category,2
