obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Approve,Expanded,Yes,79.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Don't know,Strongly Disagree,Strongly disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,78.0,Hillary Clinton
Strongly Disapprove,Repealed,No,29.0,Treat both groups the same,Unimportant,Definitely is not happening,Don't know,Republican,In the Republican primary,Conservative,Too much,Neither,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,52.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,48.0,Donald Trump
Strongly Approve,Expanded,Yes,89.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,69.0,Isolated incidents,Disagree,Strongly disagree,Favor,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,99.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Don't know,Unimportant,Probably is happening,Don't know,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,36.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,30.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,88.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Favor,Strongly Agree,Strongly Disagree,Should be required to use the restrooms of the gender they were born into,Strongly agree,91.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,1.0,Donald Trump
Somewhat Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,78.0,Hillary Clinton
Strongly Approve,Expanded,Yes,88.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Very liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,89.0,Isolated incidents,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,84.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,70.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,"No, not in either",Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,88.0,Don't know,Disagree,Strongly disagree,Oppose,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,24.0,Hillary Clinton
