post_presvote12_2012,cmatch_romn_baseline,vote_generic_baseline,obamaapp_baseline,healthreformbill_baseline,teapartsup_baseline,post_house12_2012,fav_biden_baseline,healthqualch3_baseline,post_ideo5_2012,govt_reg_baseline,fav_hrc_baseline,post_pid3_2012,healthtaxch3_baseline,fav_bach_baseline,fav_sant_baseline,envwarm_baseline,fav_ging_baseline,fav_perr_baseline,taxwealth_baseline,saysobama_baseline,envser2_baseline,likenewt_baseline,track_baseline,econtrend_baseline,presvote16post_2016
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Moderate,Too little,Very favorable,Democrat,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Generally headed in the right direction,Getting better,Hillary Clinton
Mitt Romney,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand2Name ($HouseCand2Party),Somewhat favorable,Better care,Moderate,Too little,Very favorable,Republican,Pay less,Very unfavorable,Somewhat favorable,Definitely is happening,Somewhat unfavorable,Somewhat favorable,Favor,Says what he believes,Very serious,Dislike,Generally headed in the right direction,Getting better,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,Better care,Very liberal,Too little,Very favorable,Democrat,Pay less,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Not sure,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,Better care,Moderate,About the right amount,Somewhat favorable,Democrat,About the same,Very unfavorable,Very unfavorable,Probably is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Somewhat serious,Dislike,Generally headed in the right direction,Getting better,Hillary Clinton
Mitt Romney,Mitt Romney,The Republican Party candidate,Strongly Disapprove,Repealed,Somewhat support,$HouseCand2Name ($HouseCand2Party),Somewhat unfavorable,About the same,Conservative,Too much,Somewhat unfavorable,Independent,Pay more,Very favorable,Somewhat favorable,Probably is happening,Somewhat unfavorable,Don't know,Oppose,Says what he thinks people want to hear,Not very serious,Dislike,Off on the wrong track,Getting worse,Donald Trump
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,About the same,Liberal,Too little,Somewhat favorable,Democrat,Not sure,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Off on the wrong track,Getting worse,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Very liberal,Too little,Very favorable,Democrat,Pay more,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Generally headed in the right direction,Getting better,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Not sure,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,Not sure,Liberal,Too little,Very favorable,Independent,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Somewhat unfavorable,Favor,Says what he believes,Very serious,Dislike,Off on the wrong track,Getting worse,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Very liberal,Too little,Very favorable,Democrat,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Somewhat serious,Dislike,Off on the wrong track,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Liberal,Too little,Very favorable,Independent,Not sure,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Not sure,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat unfavorable,Better care,Moderate,About the right amount,Very favorable,Independent,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he thinks people want to hear,Somewhat serious,Dislike,Off on the wrong track,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Very Conservative,Too little,Very favorable,Democrat,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he thinks people want to hear,Very serious,Dislike,Off on the wrong track,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,About the same,Moderate,About the right amount,Very favorable,Independent,Not sure,Very unfavorable,Somewhat unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Like somewhat,Off on the wrong track,Getting better,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,Better care,Moderate,About the right amount,Somewhat favorable,Democrat,Pay more,Very unfavorable,Somewhat unfavorable,Probably is not happening,Very unfavorable,Somewhat favorable,Favor,Says what he thinks people want to hear,Not very serious,Dislike,Generally headed in the right direction,About the same,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Kept the same,Somewhat oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,About the same,Moderate,About the right amount,Very favorable,Democrat,About the same,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Off on the wrong track,Getting better,Hillary Clinton
Mitt Romney,Not sure,Not sure,Somewhat Approve,Kept the same,Not sure,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,About the same,Moderate,Too much,Somewhat favorable,Independent,About the same,Somewhat unfavorable,Somewhat unfavorable,Probably is happening,Somewhat unfavorable,Very unfavorable,Not sure,Says what he believes,Somewhat serious,Dislike,Off on the wrong track,About the same,Donald Trump
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Expanded,Somewhat oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,About the same,Moderate,Too little,Very favorable,Democrat,Pay less,Very unfavorable,Very unfavorable,Definitely is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Very serious,Dislike,Generally headed in the right direction,Getting better,Hillary Clinton
Mitt Romney,Not sure,Not sure,Somewhat Disapprove,Repealed,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,Worse care,Moderate,Too little,Very favorable,Independent,Pay more,Very unfavorable,Somewhat favorable,Probably is happening,Somewhat favorable,Somewhat unfavorable,Favor,Says what he thinks people want to hear,Somewhat serious,Like somewhat,Off on the wrong track,Getting worse,Hillary Clinton
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Kept the same,Strongly oppose,$HouseCand2Name ($HouseCand2Party),Very favorable,About the same,Conservative,Too much,Somewhat favorable,Republican,About the same,Very unfavorable,Don't know,Not sure,Very unfavorable,Very unfavorable,Favor,Says what he believes,Not sure,Dislike,Generally headed in the right direction,About the same,Hillary Clinton
Mitt Romney,Mitt Romney,The Republican Party candidate,Somewhat Disapprove,Repealed,Somewhat support,$HouseCand2Name ($HouseCand2Party),Somewhat unfavorable,Worse care,Conservative,About the right amount,Very unfavorable,Republican,Pay more,Very favorable,Somewhat favorable,Definitely is happening,Very favorable,Somewhat favorable,Favor,Says what he thinks people want to hear,Somewhat serious,Like a lot,Off on the wrong track,About the same,Donald Trump
Barack Obama,Barack Obama,The Democratic Party candidate,Strongly Approve,Not sure,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Somewhat favorable,Not sure,Liberal,Too little,Very favorable,Democrat,Not sure,Very unfavorable,Very unfavorable,Probably is happening,Very unfavorable,Very unfavorable,Favor,Says what he believes,Somewhat serious,Dislike,Off on the wrong track,Getting better,Hillary Clinton
Mitt Romney,Mitt Romney,The Republican Party candidate,Strongly Disapprove,Repealed,Somewhat support,$HouseCand2Name ($HouseCand2Party),Very unfavorable,Worse care,Conservative,Too much,Somewhat unfavorable,Republican,Pay more,Somewhat favorable,Very favorable,Probably is happening,Very favorable,Somewhat unfavorable,Oppose,Says what he believes,Not very serious,Like somewhat,Off on the wrong track,Getting worse,Donald Trump
Mitt Romney,Mitt Romney,The Republican Party candidate,Strongly Disapprove,Repealed,Strongly support,$HouseCand2Name ($HouseCand2Party),Very unfavorable,Worse care,Conservative,Too much,Somewhat unfavorable,Republican,Pay more,Somewhat unfavorable,Very favorable,Probably is not happening,Very favorable,Somewhat favorable,Oppose,Says what he thinks people want to hear,Not very serious,Like a lot,Off on the wrong track,Getting worse,Donald Trump
Mitt Romney,Mitt Romney,The Republican Party candidate,Strongly Disapprove,Repealed,Strongly support,$HouseCand2Name ($HouseCand2Party),Very unfavorable,Worse care,Moderate,Too much,Somewhat unfavorable,Independent,Pay more,Somewhat favorable,Very favorable,Probably is not happening,Very favorable,Somewhat favorable,Oppose,Not sure,Not very serious,Like somewhat,Off on the wrong track,About the same,Donald Trump
Barack Obama,Not sure,Not sure,Somewhat Approve,Expanded,Strongly oppose,$HouseCand1Name ($HouseCand1Party),Very favorable,About the same,Moderate,Too little,Somewhat favorable,Democrat,About the same,Very unfavorable,Somewhat unfavorable,Probably is happening,Very unfavorable,Very unfavorable,Favor,Not sure,Somewhat serious,Dislike,Off on the wrong track,Getting better,Hillary Clinton
