Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
0,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Don't know,Hillary Clinton
1,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,No,Neither,Republican,Strongly agree,Men have more opportunities than women,Donald Trump
2,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Independent,Strongly disagree,Men have more opportunities than women,Hillary Clinton
3,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Favor whites over blacks,Yes,Mostly make a contribution,Independent,Strongly disagree,Women have more opportunities than men,Gary Johnson
4,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Don't know,No,Mostly a drain,Republican,Strongly agree,Women have more opportunities than men,Donald Trump
5,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
6,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be required to use the restrooms of the gender they were born into,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly agree,Men have more opportunities than women,Hillary Clinton
7,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Don't know,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
8,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
9,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
10,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Agree,Men have more opportunities than women,Hillary Clinton
11,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Don't know,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Strongly disagree,Men have more opportunities than women,Hillary Clinton
12,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Strongly agree,Men and women have equal opportunities,Donald Trump
