,base_name,imp_grouped
23,vote_generic_baseline,0.004077010192525443
1,cmatch_romn_baseline,0.0038505096262740237
0,cmatch_ging_baseline,0.002944507361268345
7,fav_obama_baseline,0.002491506228765572
12,obamaapp_baseline,0.0018120045300113574
18,prim12_baseline,0.0018120045300113574
9,healthreformbill_baseline,0.0015855039637598933
2,cong2012_2_baseline,0.0009060022650056787
13,pid3_baseline,0.000679501698754259
10,ideoobama_baseline,0.000679501698754259
11,likeobama_baseline,0.000679501698754259
21,teapartsup_baseline,0.00022650056625141967
6,fav_biden_baseline,0.0
5,fav_bach_baseline,0.0
4,envwarm_baseline,0.0
3,envpoll2_baseline,0.0
15,post_pid3_2012,0.0
14,post_house12_2012,0.0
8,gaymar2_baseline,0.0
17,presvote08_baseline,0.0
20,taxwealth_baseline,0.0
19,selfdescr_ccap_7_baseline,0.0
22,univhealthcov_baseline,0.0
16,post_presvote12_2012,-4.434386885465713e-17
