,feature,combined_score,norm_score_c
0,volunteerorg2_10_baseline,0.0,0.0
1,therm,0.0,0.0
2,healthdk_0_baseline,0.0,0.0
3,student2_baseline,0.0,0.0
4,org_membership_15_baseline,0.0,0.0
5,org_membership_12_baseline,0.0,0.0
6,org_membership_11_baseline,0.0,0.0
7,latetalk_4_baseline,0.0,0.0
8,polcontr_6_baseline,0.0,0.0
9,post_HouseCand1Party_2012,0.0,0.0
10,post_turnout12_2012,0.0,0.0
11,org_membership_9_baseline,0.0,0.0
12,ownorrent_baseline,0.0,0.0
13,org_membership_1_baseline,0.0,0.0
14,org_membership_19_baseline,0.0,0.0
15,org_membership_17_baseline,0.0,0.0
16,votereg_baseline,0.0,0.0
17,volunteerorg2_4_baseline,0.0,0.0
18,voted08_ccap_baseline,0.0,0.0
19,add_confirm_baseline,3.876503012092183e-05,1.825693404873504e-05
20,post_turnout_method12_2012,5.020802572648471e-05,2.364617315003458e-05
21,org_membership_7_baseline,6.890897269323898e-05,3.245364613163446e-05
22,morn_show_4_baseline,8.546686929869695e-05,4.025181952060515e-05
23,org_membership_3_baseline,0.00010360038488377028,4.8792052743066015e-05
24,volunteerorg2_11_baseline,0.00010480345176811453,4.9358653947687184e-05
25,morn_show_2_baseline,0.00012067711233201371,5.683457678647027e-05
26,org_membership_16_baseline,0.00012522528089803513,5.897660049426478e-05
27,selfdescr_ccap_8_baseline,0.0001372012883096348,6.461686897332195e-05
28,org_membership_10_baseline,0.0001484059350334648,6.9893854329408e-05
29,org_membership_20_baseline,0.00018748629138987298,8.829929568658966e-05
30,pew_prayer_baseline,0.000190643487472618,8.978622141531472e-05
31,morn_show_6_baseline,0.00019238452312277088,9.060618654734702e-05
32,knowgay4_baseline,0.00019281944255697766,9.081101794827868e-05
33,volunteerorg2_8_baseline,0.00020600135635792324,9.701922493662013e-05
34,whites_t,0.00021507837387205807,0.00010129417350747995
35,volunteerorg2_16_baseline,0.0002211189133683865,0.00010413905021360502
36,polcontr_3_baseline,0.0002218532179916156,0.00010448488126381074
37,healthcov2_baseline,0.0002480673312946909,0.00011683078519391022
38,volunteerorg2_5_baseline,0.0002524445489547801,0.00011889229717746668
39,milstat_1_baseline,0.0002552784723201216,0.00012022697309075288
40,watchtv_baseline,0.0002620643024229725,0.00012342285484983365
41,volunteerorg2_2_baseline,0.0002801822290375763,0.00013195574622824427
42,tradepolicy_baseline,0.0002954129024663119,0.00013912884526721993
43,sundaytalkshow_1_baseline,0.00029558035490900815,0.00013920770934118217
44,latetalk_9_baseline,0.0003016136344808843,0.00014204916688417206
45,volunteerorg2_17_baseline,0.00030391347116866897,0.00014313230719389892
46,org_membership_21_baseline,0.00031185384857232814,0.00014687193917995616
47,latetalk_3_baseline,0.0003219655040254453,0.00015163416498386331
48,org_membership_8_baseline,0.00032278352976284784,0.0001520194256657547
49,milstat_2_baseline,0.0003248921615497136,0.00015301251534853807
50,volunteerorg2_9_baseline,0.0003385247787197443,0.00015943298740308124
51,volunteer_baseline,0.0003567803759514382,0.00016803071668742984
52,org_membership_2_baseline,0.00039266490033268236,0.00018493103620104772
53,volunteerorg2_7_baseline,0.0003936988807150411,0.00018541800374859054
54,pk_VP_baseline,0.00039759916478082153,0.00018725489717388044
55,volunteerorg2_3_baseline,0.0004068326599361059,0.00019160354108215279
56,org_membership_18_baseline,0.0004073751787390152,0.0001918590479132843
57,volunteerorg2_6_baseline,0.000424089262646512,0.00019973077990039558
58,employstat2_baseline,0.00044054040732233066,0.00020747867697246618
59,org_membership_4_baseline,0.00044158443099726345,0.00020797037454935724
60,smoke100_baseline,0.0004566697326357568,0.0002150750087070025
61,enews_show_2_baseline,0.0004801038940197204,0.00022611165533257882
62,latetalk_2_baseline,0.000481991099622821,0.00022700046125185026
63,sundaytalkshow_99_baseline,0.0004839438946313892,0.00022792015742055996
64,milstat_5_baseline,0.0004986399844494256,0.00023484148681835064
65,volunteerorg2_13_baseline,0.0005106422022440306,0.00024049409944450193
66,org_membership_5_baseline,0.000513002880886765,0.00024160589412533206
67,milstat_4_baseline,0.0005143362986824478,0.0002422338859179155
68,post_HouseCand2Party_2012,0.0005205811911085866,0.00024517500549939953
69,selfdescr_ccap_99_baseline,0.0005214234199072478,0.0002455716649520851
70,imiss_a_baseline,0.0005531984513370225,0.0002605365611845992
71,milstat_3_baseline,0.000603441990643594,0.0002841994599527348
72,reliablevoter_baseline,0.0006672829858292935,0.0003142662710728396
