,feature,combined_score,norm_score_c
8,taxdoug_2016,1.0816720414345733,0.5238715021002172
10,view_transgender_2016,1.0944515005261584,0.5300608036388406
11,RIGGED_SYSTEM_4_2016,1.096720055028682,0.5311595017740508
12,gender_equality_2016,1.097038991498099,0.5313139679346871
14,affirmact_gen_2016,1.11870975397647,0.5418094734634652
17,immi_contribution_2016,1.2100785049208302,0.5860608574030564
18,police_threat_2016,1.2439277514416012,0.6024546024020292
19,pid3_2016,1.2490090006961212,0.6049155347156542
20,gvmt_involment_2016,1.2593123711624532,0.6099056259412106
23,wealth_2016,1.2962621406525001,0.6278010050427499
24,policies_favor_2016,1.4500551748879937,0.7022854927351975
26,obamaapp_2016,1.7205944598935705,0.8333121035598824
27,healthreformbill_2016,2.0647659532883855,1.0
