,base_name,imp_grouped
8,healthreformbill_2016,0.21179620058259463
13,obamaapp_2016,0.15309062142700747
21,univhealthcov_2016,0.12441843647099952
16,policies_favor_2016,0.07880558000788282
7,gvmt_involment_2016,0.04736786779104333
6,govt_reg_2016,0.045270956791158556
23,wealth_2016,0.044002738011397154
17,pp_primary16_2016,0.04294237641596404
14,pid3_2016,0.04046003570682457
3,envwarm_2016,0.03906073108433022
4,ft_blm,0.03805352521545387
15,police_threat_2016,0.03536805431943854
11,immi_contribution_2016,0.026680159992271583
10,imiss_l_2016,0.016331105454563278
12,immi_muslim_2016,0.013300471159071672
2,affirmact_gen_2016,0.008514533082725652
22,view_transgender_2016,0.008299256043834566
5,ft_fem,0.008058105696761887
9,ideo5_2016,0.005415035774058913
1,RIGGED_SYSTEM_4_2016,0.004304952115111571
0,RIGGED_SYSTEM_3_2016,0.002759077907389982
19,race_slave_2016,0.0021497970208421537
20,reverse_discrimination_2016,0.0018630400802084586
18,race_overcome_2016,0.00168734184906563
