,base_name,imp_grouped
12,cmatch_ging_baseline,0.048012886756192696
13,cmatch_romn_baseline,0.04360388232341135
193,presvote08_baseline,0.04122639496515717
190,post_presvote12_2012,0.03981050343343273
260,vote_generic_baseline,0.03616242230341031
184,post_house12_2012,0.03491325522944833
14,cong2012_2_baseline,0.030518710510434987
50,fav_obama_baseline,0.028111947297650906
239,univhealthcov_baseline,0.026637754984564554
68,ideoobama_baseline,0.024413085453333573
128,obamaapp_baseline,0.023886424593107865
232,taxwealth_baseline,0.02325178627094869
63,healthreformbill_baseline,0.022623235012329913
46,fav_biden_baseline,0.01966364528620662
107,likeobama_baseline,0.019335371808511886
45,fav_bach_baseline,0.018829709093120477
218,selfdescr_ccap_7_baseline,0.0164179315851372
233,teapartsup_baseline,0.016147336072848614
188,post_pid3_2012,0.01602389867688518
40,envpoll2_baseline,0.015989264257885688
42,envwarm_baseline,0.015844341238280865
194,prim12_baseline,0.015429574439851828
55,gaymar2_baseline,0.015356593136625307
158,pid3_baseline,0.015168850552376077
64,healthtaxch3_baseline,0.014593538801676409
41,envser2_baseline,0.014196505067771465
47,fav_ging_baseline,0.014105727341159998
51,fav_perr_baseline,0.01386271493959608
189,post_pid7_2012,0.01377944806984431
206,saysobama_baseline,0.01306899935707224
48,fav_hrc_baseline,0.012925344973273191
62,healthqualch3_baseline,0.01290764298218356
58,govt_reg_baseline,0.012464782244370216
224,straighttic_baseline,0.012119244285651865
54,fav_sant_baseline,0.009917331692730671
85,immi_contribution_baseline,0.009128176651754106
16,dailytalkshow_1_baseline,0.00900186651652396
3,affirmact_gen_baseline,0.008951525157722892
159,pid7_baseline,0.008827551898535832
66,ideo5_baseline,0.008744394059658999
106,likenewt_baseline,0.008504672225485892
123,morn_show_5_baseline,0.008333972819736465
236,track_baseline,0.00832360387815031
234,teapartymemb_baseline,0.008308396404586072
35,enews_show_4_baseline,0.00823920383220375
185,post_ideo5_2012,0.008127220197350979
28,demnom2_baseline,0.00791013815015805
216,selfdescr_ccap_5_baseline,0.007714600018324671
17,dailytalkshow_2_baseline,0.007345774228609575
0,abortidentity_baseline,0.006750115126739391
221,selfdescr_ccap_9_baseline,0.006255858388097388
203,repchoice_baseline,0.0055369663509209745
171,polcontr_1_baseline,0.0054902592005711065
87,immi_naturalize_baseline,0.004908012508634353
228,sundaytalkshow_3_baseline,0.004893004195570913
79,imiss_p_baseline,0.004772312171894582
18,dailytalkshow_3_baseline,0.004374238146041907
73,imiss_d_baseline,0.004223388789538273
197,race_overcome_baseline,0.003837658510752897
23,dailytalkshow_8_baseline,0.003356211397253142
27,deathpenfreq_baseline,0.003158538440699171
29,econtrend_baseline,0.0030321954583492398
198,race_slave_baseline,0.002576226539420747
75,imiss_g_baseline,0.002395865858070582
52,fav_romn_baseline,0.00236478664236285
199,race_tryharder_baseline,0.0023198924529183517
172,polcontr_2_baseline,0.002132132298196236
207,saysromney_baseline,0.002128332067752579
210,selfdescr_ccap_12_baseline,0.0021053132898108656
26,deathpenalty_baseline,0.001800116450202174
22,dailytalkshow_7_baseline,0.001797499773851556
25,dailytalkshow_9_baseline,0.0017687969591493207
108,likeromney_baseline,0.001732700271351282
1,abortview3_baseline,0.0016646001768011699
196,race_deservemore_baseline,0.001649039567853399
98,latetalk_5_baseline,0.001634705866399813
174,polcontr_4_baseline,0.0016235724026348105
56,gays_t,0.001616362108228374
72,imiss_c_baseline,0.001551146876042997
204,repnom_baseline,0.0015127121208210353
74,imiss_f_baseline,0.001465665549003201
81,imiss_r_baseline,0.0014258945614706224
111,lookupzip_baseline,0.0013369477358177832
205,saysnewt_baseline,0.0012700255560653703
38,enews_show_7_baseline,0.0012325695627731753
215,selfdescr_ccap_4_baseline,0.0012118008447070086
99,latetalk_6_baseline,0.00116070305529499
21,dailytalkshow_6_baseline,0.0011281865914125873
181,post_HouseCand2Name_2012,0.00108055757581833
133,org_membership_13_baseline,0.001080025392275701
179,post_HouseCand1Name_2012,0.0010753115806690207
175,polcontr_5_baseline,0.0010306950964296272
67,ideonewt_baseline,0.000990280864829599
84,imissf_baseline,0.0008776481432167359
208,selfdescr_ccap_10_baseline,0.000871877957059801
126,muslims_t,0.0007266276790478699
59,gunown_baseline,0.0007259243705708803
10,christians_t,0.0007252430020218038
214,selfdescr_ccap_3_baseline,0.0007162919742710503
238,trustgovt_baseline,0.0007127623301627084
102,latetalk_99_baseline,0.0006714219370959431
209,selfdescr_ccap_11_baseline,0.0006495953101542415
44,fatalism2_baseline,0.0004935877674951317
69,ideoromney_baseline,0.00048180762651157683
168,pk_ideo_baseline,0.0004790700054636719
6,blacks_t,0.0004739454338386374
76,imiss_h_baseline,0.00045220618728637903
152,persfinretro_baseline,0.0004208266564428418
127,newsint2_baseline,0.0003751930473902502
229,sundaytalkshow_4_baseline,0.0003595416435102232
177,polcontr_7_baseline,0.00035217438831425626
71,imiss_b_baseline,0.0003511528245847673
53,fav_ronp_baseline,0.0003252217489023029
88,inputstate_baseline,0.00029990635005418937
186,post_inputstate_2012,0.00029551276103146105
118,mormons_t,0.00029494496751432094
100,latetalk_7_baseline,0.00029239689807661427
167,pk_house_baseline,0.0002730256635485854
86,immi_makedifficult_baseline,0.00026590958832948603
156,pew_religimp_baseline,0.00026551070394658066
212,selfdescr_ccap_1_baseline,0.00025171048190468433
169,pk_senate_baseline,0.00022359197319880188
227,sundaytalkshow_2_baseline,0.00022318729270020122
77,imiss_j_baseline,0.00021535045329654782
164,pk_SMinL_baseline,0.0002124905342451224
195,race_baseline,0.00018837994799399891
32,enews_show_1_baseline,0.0001682332731815784
36,enews_show_5_baseline,0.00016186092520653123
154,pew_churatd_baseline,0.00015261916156965799
104,latinos_t,0.0001507095447131304
259,vote10_baseline,0.00014963613106669483
187,post_newsint_2012,0.0001435050723459624
43,faminc_baseline,0.00012913171131122218
246,volunteerorg2_14_baseline,0.00012598315847550738
161,pk_HMinL_baseline,0.00012275040489744037
170,pol_know_baseline,0.000115177519504799
94,latetalk_1_baseline,0.00011487969392699007
217,selfdescr_ccap_6_baseline,0.00011445436871636553
119,morn_show_1_baseline,0.00011440511523208444
211,selfdescr_ccap_13_baseline,0.00011367558423520312
178,polinterest_baseline,0.00011161452151805887
109,localeve_baseline,0.00011109007967106241
37,enews_show_6_baseline,0.0001098815897512227
112,marstat_baseline,0.00010889196864867723
11,closegay4_baseline,0.0001056415922636483
8,cdid,0.00010281926078030357
34,enews_show_3_baseline,9.543678809652566e-05
165,pk_Speaker_baseline,9.239878224371073e-05
105,lengthres_baseline,9.23301340209489e-05
162,pk_SCJ_baseline,8.877515048207468e-05
57,gender_baseline,8.867973202536845e-05
5,birthyr,8.852247812332648e-05
202,religpew_baseline,8.694938650581841e-05
9,child18_baseline,7.984463109133697e-05
49,fav_hunt_baseline,7.879853869359399e-05
183,post_cdid113,7.826486774224473e-05
110,localnewspaper_baseline,7.757117787786778e-05
82,imiss_s_baseline,7.737703579677113e-05
89,izip,7.168268112083827e-05
125,morn_show_99_baseline,7.134852904100005e-05
19,dailytalkshow_4_baseline,7.02890184300935e-05
90,jews_t,6.803346722554821e-05
163,pk_SMajL_baseline,6.723902235371882e-05
121,morn_show_3_baseline,6.563606727310585e-05
24,dailytalkshow_99_baseline,6.511677758258882e-05
30,educ_baseline,6.374257084827781e-05
4,asians_t,6.309156751384368e-05
247,volunteerorg2_15_baseline,6.155535627929023e-05
39,enews_show_99_baseline,6.053504003123395e-05
78,imiss_m_baseline,6.0013763526480135e-05
200,region_baseline,5.949605535508615e-05
7,cand,5.892809856136367e-05
160,pk_HMajL_baseline,5.772599680135714e-05
157,phone_baseline,5.500023648432305e-05
250,volunteerorg2_1_baseline,5.3418686601518136e-05
153,pew_bornagain_baseline,5.220513609093769e-05
244,volunteerorg2_12_baseline,5.084498213067709e-05
223,statefips,4.9892371877555574e-05
263,votereg_f_baseline,4.94507967355212e-05
240,urbancity_baseline,4.938075326379657e-05
80,imiss_q_baseline,4.727244635193327e-05
230,sundaytalkshow_5_baseline,4.318270207576701e-05
92,labunmemb_baseline,4.286180435412309e-05
93,latetalk_10_baseline,4.1989005731010644e-05
20,dailytalkshow_5_baseline,4.160457998520251e-05
147,org_membership_6_baseline,4.147517687710212e-05
65,hourscomputing,4.0512836900170036e-05
15,daily_intuse_home_baseline,3.996641527220402e-05
134,org_membership_14_baseline,3.94678630287785e-05
129,occupationcat_baseline,3.9261477593192664e-05
83,imiss_t_baseline,3.621908567048381e-05
213,selfdescr_ccap_2_baseline,3.419191142360047e-05
101,latetalk_8_baseline,3.359457826118743e-05
201,reliablevoter_baseline,3.2038182432955936e-05
115,milstat_3_baseline,2.897299196070231e-05
70,imiss_a_baseline,2.6560654597745583e-05
220,selfdescr_ccap_99_baseline,2.503504361203335e-05
182,post_HouseCand2Party_2012,2.499460577610043e-05
116,milstat_4_baseline,2.469477046323962e-05
146,org_membership_5_baseline,2.4630749225616812e-05
245,volunteerorg2_13_baseline,2.4517406229275437e-05
117,milstat_5_baseline,2.394114510547991e-05
231,sundaytalkshow_99_baseline,2.323554340928769e-05
95,latetalk_2_baseline,2.3141784083683252e-05
33,enews_show_2_baseline,2.3051173894775932e-05
222,smoke100_baseline,2.1926032158021342e-05
145,org_membership_4_baseline,2.1201743278769353e-05
31,employstat2_baseline,2.1151616688294023e-05
255,volunteerorg2_6_baseline,2.03617497419642e-05
138,org_membership_18_baseline,1.9559258324080057e-05
252,volunteerorg2_3_baseline,1.9533210430232868e-05
166,pk_VP_baseline,1.9089883672978344e-05
256,volunteerorg2_7_baseline,1.8902619775811045e-05
