,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
0,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
2,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Republican,Definitely is happening,Favor,Expanded,Hillary Clinton
3,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Gary Johnson
4,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
5,Strongly oppose,Not sure,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
6,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
7,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
8,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
9,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
10,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
11,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
12,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
13,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
14,Strongly oppose,Not sure,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
15,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
16,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
17,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Not sure,Repealed,Donald Trump
18,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
19,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Probably is not happening,Favor,Expanded,Hillary Clinton
20,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
21,Somewhat oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
22,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Favor,Repealed,Donald Trump
23,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Other
24,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Other,Definitely is not happening,Oppose,Repealed,Donald Trump
25,Not sure,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Not sure,Kept the same,Donald Trump
26,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
27,Somewhat oppose,Generally headed in the right direction,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
28,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
29,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Repealed,Hillary Clinton
30,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Republican,Not sure,Favor,Kept the same,Hillary Clinton
31,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
32,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
33,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
34,Strongly oppose,Off on the wrong track,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
35,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
