,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
0,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Don't know,Favor,Mostly make a contribution,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
1,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Neither,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
2,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Women have more opportunities than men,Oppose,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor whites over blacks,Strongly Approve,Expanded,Gary Johnson
4,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Don't know,Strongly Disapprove,Repealed,Donald Trump
5,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
6,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
7,Don't know,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
8,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
9,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
10,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Isolated incidents,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
11,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Oppose,Mostly make a contribution,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
12,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
13,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
14,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
15,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor whites over blacks,Somewhat Approve,Expanded,Hillary Clinton
16,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
17,No,Don't know,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
18,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
19,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Democrat,Don't know,Don't know,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
20,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
21,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
22,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Strongly Disapprove,Don't know,Donald Trump
23,No,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Strongly Approve,Don't know,Other
24,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
25,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
26,No,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Expanded,Gary Johnson
27,Yes,Don't know,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
28,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
29,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men and women have equal opportunities,Oppose,Neither,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
30,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
31,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Strongly Disapprove,Repealed,Donald Trump
32,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
33,No,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Don't know,Mostly a drain,Don't know,Republican,Don't know,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Repealed,Donald Trump
34,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
35,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
36,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
37,No,Don't know,Strongly agree,Men and women have equal opportunities,Oppose,Don't know,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Strongly Disapprove,Repealed,Donald Trump
38,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
39,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
40,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
41,No,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Don't know,Strongly Disapprove,Repealed,Donald Trump
42,No,Should be required to use the restrooms of the gender they were born into,Agree,Women have more opportunities than men,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
43,No,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
