,base_name
69,healthreformbill_2016
108,obamaapp_2016
148,univhealthcov_2016
117,policies_favor_2016
66,gvmt_involment_2016
116,police_threat_2016
157,wealth_2016
118,pp_primary16_2016
64,govt_reg_2016
115,pid3_2016
49,ft_blm
38,envwarm_2016
95,immi_contribution_2016
83,imiss_l_2016
151,view_transgender_2016
17,affirmact_gen_2016
97,immi_muslim_2016
142,taxdoug_2016
51,ft_fem
6,RIGGED_SYSTEM_4_2016
75,imiss_d_2016
98,immi_naturalize_2016
5,RIGGED_SYSTEM_3_2016
63,gender_equality_2016
134,reverse_discrimination_2016
