,base_name
12,cmatch_ging_baseline
13,cmatch_romn_baseline
193,presvote08_baseline
190,post_presvote12_2012
260,vote_generic_baseline
184,post_house12_2012
14,cong2012_2_baseline
50,fav_obama_baseline
239,univhealthcov_baseline
68,ideoobama_baseline
128,obamaapp_baseline
232,taxwealth_baseline
63,healthreformbill_baseline
46,fav_biden_baseline
107,likeobama_baseline
45,fav_bach_baseline
218,selfdescr_ccap_7_baseline
233,teapartsup_baseline
188,post_pid3_2012
40,envpoll2_baseline
42,envwarm_baseline
194,prim12_baseline
55,gaymar2_baseline
158,pid3_baseline
64,healthtaxch3_baseline
